vendor_id,passenger_count,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,hour,day,month,weekday,is_weekend,distance_km,trip_duration
1,3,-73.78793972072644,40.65833887622786,-74.03635661460818,40.83992196067366,6,12,4,5,0,2.73,222
2,4,-73.97905752632839,40.81816918215985,-73.87323972797084,40.83691675767003,11,22,7,2,1,16.31,2945
1,5,-73.98654797521547,40.75923133603439,-73.83342280902131,40.80844807289407,1,25,12,1,0,23.74,4212
1,3,-73.82918937987218,40.82560032761477,-73.81794424292737,40.67853493297038,17,3,9,5,0,17.44,3491
1,1,-73.95399516607378,40.836321985538326,-74.00505511418616,40.747179203686336,23,24,12,4,1,29.25,5397
2,4,-73.89818659227645,40.64179824588172,-73.91675227830625,40.6793465779015,12,25,3,2,0,3.42,486
1,5,-74.00124668041076,40.740213246408956,-73.99694103637182,40.68712860022957,12,9,12,6,1,24.72,4782
1,1,-73.76207628356141,40.7124922007964,-73.85136179534372,40.76440938927598,4,28,11,2,0,15.42,2809
1,1,-73.79452557999483,40.76768884735543,-74.00261608827347,40.638983379977674,6,14,12,3,1,15.89,2916
2,1,-73.7908631131105,40.80459006338451,-73.77875089481317,40.843280884700555,11,7,6,1,0,15.81,2683
1,1,-73.9279678754284,40.69172984751437,-73.98080960630158,40.83210809796715,13,28,8,1,0,10.1,1822
1,3,-73.82129163588785,40.7524956445621,-73.96257932011352,40.7137688658747,0,11,11,4,1,10.07,1959
1,6,-74.00683715338306,40.78592028757908,-73.7947281033547,40.74339293856152,23,10,3,2,0,19.14,3530
1,3,-74.04741429922247,40.65957483822386,-73.91245971695628,40.732546272238906,9,3,6,3,1,1.82,674
2,3,-74.0440081202266,40.80909471930928,-74.04280121625997,40.82408395129585,8,19,9,5,0,17.87,3540
1,5,-73.87401947877864,40.763344111967655,-73.9016241246392,40.78149241278955,9,2,9,0,1,21.88,4123
2,5,-73.91338152842562,40.83889823616501,-74.02463699938596,40.69118447443336,6,17,6,3,0,11.01,1865
2,6,-73.89459539532744,40.70469636220876,-73.7543965843938,40.72830507598237,15,2,5,5,1,6.91,1444
2,5,-74.04776105787484,40.65379210731419,-73.87356652886332,40.72437251465109,11,21,1,3,1,6.79,1378
1,2,-73.92319401410278,40.74143026422813,-73.9730402147167,40.84105373702246,11,16,3,5,0,2.91,667
2,6,-73.83457955163973,40.64887836977608,-73.88088469613571,40.66856840031323,18,17,3,3,0,3.15,828
1,5,-73.91719188940976,40.843295835131286,-74.02693986898547,40.649706794204775,12,10,12,6,1,5.42,1006
2,6,-73.83033423810633,40.63851069081659,-73.81003260871935,40.82373614307557,20,4,4,3,1,1.07,400
2,3,-73.98009431068095,40.79577085824361,-73.77240158384075,40.827270917691294,17,11,5,2,1,8.35,1685
2,3,-73.80605739865548,40.7455225275913,-73.78766668353815,40.82178259934068,2,26,11,3,0,9.54,1882
2,6,-73.87347062786397,40.71109654354962,-73.94747271931043,40.74241492143762,6,26,8,5,1,29.86,5364
2,2,-73.98677107017103,40.64448527619191,-73.95226956410698,40.77514377421928,0,17,11,5,1,29.75,5272
2,2,-73.97898385724385,40.7668767233182,-74.0394737166351,40.75393987046342,2,28,9,1,1,6.02,1099
